"","author","published","site_url","main_img_url","type","label","has_image"
"1","Barracuda Brigade","10","100percentfedup.com","http://bb4sp.com/wp-content/uploads/2016/10/Fullscreen-capture-10262016-83501-AM.bmp.jpg","bias","1","1"
"2","reasoning with facts","10","100percentfedup.com","http://bb4sp.com/wp-content/uploads/2016/10/Fullscreen-capture-10282016-102616-PM.bmp.jpg","bias","1","1"
"3","Barracuda Brigade","10","100percentfedup.com","http://bb4sp.com/wp-content/uploads/2016/10/Fullscreen-capture-10302016-60437-PM.bmp.jpg","bias","1","1"
"4","Fed Up","11","100percentfedup.com","http://100percentfedup.com/wp-content/uploads/2016/10/kayla.jpg","bias","1","1"
"5","Fed Up","11","100percentfedup.com","http://100percentfedup.com/wp-content/uploads/2016/11/obamacare-sites-404-970x0.jpg","bias","1","1"
"6","Barracuda Brigade","11","100percentfedup.com","http://bb4sp.com/wp-content/uploads/2016/11/Fullscreen-capture-1122016-74311-AM.bmp.jpg","bias","1","1"
"7","Fed Up","11","100percentfedup.com","http://100percentfedup.com/wp-content/uploads/2016/11/hillary-looking-down.jpg","bias","1","1"
"8","Fed Up","11","100percentfedup.com","http://100percentfedup.com/wp-content/uploads/2016/11/snipes-dem.jpg","bias","1","1"
"9","Fed Up","11","100percentfedup.com","http://100percentfedup.com/wp-content/uploads/2016/05/hillary-comey.jpg","bias","1","1"
"10","Fed Up","11","100percentfedup.com","http://100percentfedup.com/wp-content/uploads/2016/11/TRUCK-TORCHED-HILLARY.jpg","bias","1","1"
"11","EdJenner","11","100percentfedup.com","http://conservativeangle.com/wp-content/uploads/2016/11/2521919-thumb.jpg","bias","1","1"
"12","Fed Up","11","100percentfedup.com","http://100percentfedup.com/wp-content/uploads/2016/11/moving.jpg","bias","1","1"
"13","EdJenner","11","100percentfedup.com","http://conservativeangle.com/wp-content/uploads/2016/11/2534062-thumb.jpg","bias","1","1"
"14","Fed Up","11","100percentfedup.com","http://100percentfedup.com/wp-content/uploads/2016/11/us-election-map.jpg","bias","1","1"
"15","Fed Up","11","100percentfedup.com","http://100percentfedup.com/wp-content/uploads/2016/11/reagan.jpg","bias","1","1"
"16","EdJenner","11","100percentfedup.com","http://conservativeangle.com/wp-content/uploads/2016/11/2543787-thumb.jpg","bias","1","1"
"17","Fed Up","11","100percentfedup.com","http://100percentfedup.com/wp-content/uploads/2016/11/Tomi.jpg","bias","1","1"
"18","EdJenner","11","100percentfedup.com","http://conservativeangle.com/wp-content/uploads/2016/11/2544872-thumb.jpg","bias","1","1"
"19","EdJenner","11","100percentfedup.com","http://conservativeangle.com/wp-content/uploads/2016/11/2546115-thumb.jpg","bias","1","1"
"20","EdJenner","11","100percentfedup.com","http://conservativeangle.com/wp-content/uploads/2016/11/2546106-thumb.jpg","bias","1","1"
"21","Fed Up","11","100percentfedup.com","http://100percentfedup.com/wp-content/uploads/2016/11/Cuban-invester.png","bias","1","1"
"22","EdJenner","11","100percentfedup.com","http://conservativeangle.com/wp-content/uploads/2016/11/2548928-thumb.jpg","bias","1","1"
"23","EdJenner","11","100percentfedup.com","http://conservativeangle.com/wp-content/uploads/2016/11/2553918-thumb.jpg","bias","1","1"
"24","EdJenner","11","100percentfedup.com","http://conservativeangle.com/wp-content/uploads/2016/11/2574659-thumb.jpg","bias","1","1"
"25","EdJenner","11","100percentfedup.com","http://conservativeangle.com/wp-content/uploads/2016/11/2574911-thumb.jpg","bias","1","1"
"26","EdJenner","11","100percentfedup.com","http://conservativeangle.com/wp-content/uploads/2016/11/2577115-thumb.jpg","bias","1","1"
"27","EdJenner","11","100percentfedup.com","http://conservativeangle.com/wp-content/uploads/2016/11/2582326-thumb.jpg","bias","1","1"
"28","Fed Up","11","100percentfedup.com","http://100percentfedup.com/wp-content/uploads/2016/11/HAMILTON.jpg","bias","1","1"
"29","EdJenner","11","100percentfedup.com","http://conservativeangle.com/wp-content/uploads/2016/11/2586035-thumb.jpg","bias","1","1"
"30","Barracuda Brigade","11","100percentfedup.com","http://bb4sp.com/wp-content/uploads/2016/11/Fullscreen-capture-11232016-85104-AM.bmp.jpg","bias","1","1"
"31","Barracuda Brigade","11","100percentfedup.com","http://bb4sp.com/wp-content/uploads/2016/11/Fullscreen-capture-11232016-80742-AM.bmp.jpg","bias","1","1"
"32","EdJenner","11","100percentfedup.com","http://conservativeangle.com/wp-content/uploads/2016/11/2593516-thumb.jpg","bias","1","1"
"33","EdJenner","11","100percentfedup.com","http://conservativeangle.com/wp-content/uploads/2016/11/2593868-thumb.jpg","bias","1","1"
"34","No Author","10","21stcenturywire.com","http://21stcenturywire.com/wp-content/uploads/2016/10/1-Syria-No-Fly-Zone.png","conspiracy","0","1"
